*** Dátum: 6-2-2019 ***
*** Konfigurácia kyvadla: ***
Váha:;0.063000;Dåžka lanka:;0.530000
Ubehnutý èas:;Súradnica x:;Súradnica y:;Aktuálna výchylka:;Rýchlos;Zrýchlenie:;Uhlová rýchlos:;Uhlové zrýchlenie:;Potenciálna energia:;Kinetická energia:;Perióda:;Frekvencia:
3963;10.917999;11.765999;0.116535;9.120789;-1.140619;5.423489;-2.152111;0.229289;2.620447;1.460395;0.684746
3995;8.851000;11.394999;0.175648;8.712622;-1.714257;5.399947;-3.234447;0.458578;2.391158;1.460395;0.684746
4025;7.473000;11.076999;0.215380;8.346893;-2.096578;5.378740;-3.955807;0.655112;2.194624;1.460395;0.684746
4058;6.254000;10.811999;0.239237;8.029403;-2.324592;5.363919;-4.386022;0.818890;2.030847;1.460395;0.684746
4090;4.611000;10.493999;0.257974;7.631000;-2.502747;5.351177;-4.722165;1.015423;1.834313;1.460395;0.684746
4123;3.869000;10.228999;0.282687;7.282366;-2.736375;5.332884;-5.162972;1.179201;1.670535;1.460395;0.684746
4155;3.286000;9.592999;0.359707;6.368244;-3.453120;5.264953;-6.515321;1.572268;1.277468;1.460395;0.684746
4185;2.809000;9.222000;0.397608;5.768494;-3.798570;5.225401;-7.167114;1.801557;1.048179;1.460395;0.684746
4218;2.862000;9.169000;0.406090;5.677645;-3.875154;5.215991;-7.311611;1.834313;1.015423;1.460395;0.684746
4250;3.021000;9.010000;0.431824;5.395932;-4.105760;5.186188;-7.746717;1.932580;0.917156;1.460395;0.684746
4297;3.074000;9.433999;0.376100;6.118411;-3.603173;5.248345;-6.798440;1.670535;1.179201;1.460395;0.684746
4330;3.816000;10.069999;0.304707;7.064933;-2.943134;5.315155;-5.553083;1.277468;1.572268;1.460395;0.684746
4362;4.770000;10.546999;0.252881;7.698832;-2.454407;5.354737;-4.630956;0.982668;1.867069;1.460395;0.684746
4395;5.936000;10.811999;0.232591;8.029403;-2.261196;5.368206;-4.266409;0.818890;2.030847;1.460395;0.684746
4425;7.261000;11.182999;0.189903;8.470557;-1.851775;5.392837;-3.493916;0.589601;2.260136;1.460395;0.684746
4458;8.586000;11.394999;0.170319;8.712622;-1.662761;5.402461;-3.137285;0.458578;2.391158;1.460395;0.684746
4490;10.493999;11.765999;0.109266;9.120789;-1.069769;5.425724;-2.018433;0.229289;2.620447;1.460395;0.684746
4522;12.348999;11.977999;0.064494;9.346028;-0.632245;5.436315;-1.192916;0.098267;2.751469;1.460395;0.684746
4555;14.468999;12.083999;0.037731;9.456636;-0.370057;5.440038;-0.698221;0.032756;2.816981;1.460395;0.684746
4585;16.694999;12.189999;0.181320;9.456636;-1.769016;5.397185;-3.337767;0.032756;2.816981;1.460395;0.684746
4618;18.973999;12.242999;-0.124838;9.401494;1.221479;5.420759;2.304677;0.065511;2.784225;1.460395;0.684746
4665;21.358999;12.189999;-0.025973;9.456636;0.254762;5.441058;0.480683;0.032756;2.816981;1.460395;0.684746
4699;23.531999;12.136999;-0.000000;9.511457;0.000000;5.441975;0.000000;0.000000;2.849736;1.460395;0.684746
4731;25.545999;12.083999;-0.012820;9.456636;0.125764;5.441752;0.237291;0.032756;2.816981;1.460395;0.684746
4763;27.559999;11.871999;-0.051535;9.234095;0.505334;5.438362;0.953461;0.163778;2.685958;1.460395;0.684746
4795;29.255998;11.818999;-0.053085;9.177617;0.520518;5.438141;0.982110;0.196534;2.653203;1.460395;0.684746
4825;30.739998;11.659999;-0.070837;9.006058;0.694325;5.435147;1.310047;0.294800;2.554936;1.460395;0.684746
4858;31.746998;11.500999;-0.087856;8.831166;0.860754;5.431471;1.624065;0.393067;2.456669;1.460395;0.684746
4890;32.170998;11.394999;-0.099562;8.712622;0.975088;5.428484;1.839790;0.458578;2.391158;1.460395;0.684746
4922;32.488998;11.341999;-0.104435;8.652740;1.022642;5.427130;1.929513;0.491334;2.358402;1.460395;0.684746
4955;32.594998;11.076999;-0.138188;8.346893;1.351314;5.415975;2.549649;0.655112;2.194624;1.460395;0.684746
4985;32.541998;11.129999;-0.131754;8.408952;1.288766;5.418341;2.431634;0.622356;2.227380;1.460395;0.684746
